width,height,count,time,GC,bytes,RAM
1, 1, 2, 0.412, 0.2004, 6039797760, 0.0000
1, 2, 3, 0.471, 0.1811, 6039797760, 0.0000
1, 3, 4, 0.577, 0.1455, 6039797760, 0.0000
1, 4, 5, 0.573, 0.1384, 6039797760, 0.0000
1, 5, 6, 0.671, 0.1312, 6039797760, 0.0000
1, 6, 7, 0.749, 0.1099, 6039797760, 0.0000
1, 7, 8, 0.852, 0.1038, 6039797760, 0.0001
1, 8, 9, 0.968, 0.0836, 6039797760, 0.0001
1, 9, 10, 1.210, 0.1699, 6039797760, 0.0001
1, 10, 11, 1.368, 0.2338, 6039797760, 0.0002
1, 11, 12, 1.520, 0.2417, 6039797760, 0.0002
2, 1, 5, 0.502, 0.1745, 6039797760, 0.0000
2, 2, 18, 0.606, 0.1351, 6039797760, 0.0000
2, 3, 58, 0.765, 0.1083, 6039797760, 0.0000
2, 4, 179, 0.871, 0.1042, 6039797760, 0.0001
2, 5, 537, 1.162, 0.2372, 6039797760, 0.0002
2, 6, 1571, 1.476, 0.2951, 6039797760, 0.0003
2, 7, 4587, 1.795, 0.3662, 6039797760, 0.0005
2, 8, 13343, 2.152, 0.3932, 6039797760, 0.0007
2, 9, 38943, 2.404, 0.4215, 6039797760, 0.0010
2, 10, 113835, 2.762, 0.4444, 6039797760, 0.0014
3, 1, 13, 0.550, 0.1500, 6039797760, 0.0000
3, 2, 116, 0.766, 0.1041, 6039797760, 0.0000
3, 3, 869, 1.004, 0.1233, 6039797760, 0.0001
3, 4, 6000, 1.482, 0.3056, 6039797760, 0.0003
3, 5, 38310, 1.931, 0.3853, 6039797760, 0.0006
3, 6, 235781, 2.450, 0.4279, 6039797760, 0.0010
3, 7, 1417322, 3.030, 0.4315, 6039797760, 0.0016
3, 8, 8424616, 4.076, 0.4236, 6039797760, 0.0024
3, 9, 49867996, 5.641, 0.3932, 6039797760, 0.0034
4, 1, 35, 0.597, 0.1461, 6039797760, 0.0000
4, 2, 741, 0.888, 0.0883, 6039797760, 0.0001
4, 3, 12031, 1.487, 0.3196, 6039797760, 0.0003
4, 4, 161029, 3.342, 0.5879, 6039797760, 0.0007
4, 5, 1706255, 4.560, 0.5986, 6039797760, 0.0014
4, 6, 15835683, 7.759, 0.5032, 6039797760, 0.0038
4, 7, 135385909, 23.371, 0.2635, 6039797760, 0.0173
4, 8, 1104642469, 107.819, 0.1211, 6039797760, 0.0769
5, 1, 96, 0.697, 0.1266, 6039797760, 0.0000
5, 2, 4688, 1.242, 0.2312, 6039797760, 0.0002
5, 3, 158911, 1.972, 0.3848, 6039797760, 0.0006
5, 4, 3945711, 4.597, 0.5987, 6039797760, 0.0014
5, 5, 69763700, 11.773, 0.3800, 6039797760, 0.0092
5, 6, 1044334437, 81.680, 0.1364, 6039797760, 0.0647
5, 7, 14171315454, 713.541, 0.0750, 6039797760, 0.3827
6, 1, 267, 0.729, 0.1122, 6039797760, 0.0000
6, 2, 29737, 1.469, 0.3151, 6039797760, 0.0003
6, 3, 2087325, 2.481, 0.4048, 6039797760, 0.0010
6, 4, 94910577, 8.801, 0.4556, 6039797760, 0.0053
6, 5, 2818972642, 83.158, 0.1400, 6039797760, 0.0585
6, 6, 69173028785, 1114.429, 0.0712, 6039797760, 0.4592
7, 1, 750, 0.812, 0.0903, 6039797760, 0.0001
7, 2, 189648, 1.776, 0.3713, 6039797760, 0.0005
7, 3, 27441956, 3.076, 0.4113, 6039797760, 0.0016
7, 4, 2265792710, 26.296, 0.2648, 6039797760, 0.0180
7, 5, 112829665923, 508.861, 0.0873, 6039797760, 0.2056
8, 1, 2118, 0.832, 0.0874, 6039797760, 0.0001
8, 2, 1216721, 2.109, 0.4066, 6039797760, 0.0007
8, 3, 362940958, 3.972, 0.3825, 6039797760, 0.0024
8, 4, 54233186631, 89.629, 0.1565, 6039797760, 0.0434
9, 1, 6010, 0.972, 0.1702, 6039797760, 0.0001
9, 2, 7844298, 2.448, 0.4287, 6039797760, 0.0010
9, 3, 4816325017, 5.645, 0.3226, 6039797760, 0.0036
10, 1, 17120, 1.133, 0.2321, 6039797760, 0.0002
10, 2, 50780523, 2.820, 0.4436, 6039797760, 0.0014
11, 1, 48930, 1.477, 0.3110, 6039797760, 0.0002
