width,height,ply,poscount,nodecount,time
5, 5, 0, 1, 52, 0.000
5, 5, 1, 5, 92, 0.133
5, 5, 2, 25, 181, 0.030
5, 5, 3, 95, 285, 0.029
5, 5, 4, 345, 516, 0.030
5, 5, 5, 1075, 838, 0.031
5, 5, 6, 3350, 1397, 0.032
5, 5, 7, 9355, 2205, 0.033
5, 5, 8, 25060, 3691, 0.035
5, 5, 9, 60842, 5514, 0.038
5, 5, 10, 139632, 7701, 0.531
5, 5, 11, 299764, 11495, 0.505
5, 5, 12, 596136, 16249, 0.509
5, 5, 13, 1128408, 25606, 0.542
5, 5, 14, 1948956, 36855, 0.548
5, 5, 15, 3231341, 60428, 0.586
5, 5, 16, 4769837, 85269, 0.624
5, 5, 17, 6789890, 133783, 0.721
5, 5, 18, 8396345, 176088, 0.812
5, 5, 19, 9955530, 248047, 0.997
5, 5, 20, 9812925, 278371, 1.105
5, 5, 21, 9020543, 324691, 1.274
5, 5, 22, 6632480, 296527, 1.252
5, 5, 23, 4345913, 271908, 1.248
5, 5, 24, 2011598, 176258, 1.067
5, 5, 25, 584249, 83617, 1.284
