width,height,ply,poscount,nodecount,time
5, 5, 0, 1, 33, 0.000
5, 5, 1, 5, 57, 0.129
5, 5, 2, 25, 111, 0.029
5, 5, 3, 95, 174, 0.029
5, 5, 4, 345, 308, 0.029
5, 5, 5, 1075, 510, 0.029
5, 5, 6, 3350, 871, 0.030
5, 5, 7, 9355, 1395, 0.031
5, 5, 8, 25060, 2511, 0.032
5, 5, 9, 60842, 3597, 0.033
5, 5, 10, 139632, 5416, 0.504
5, 5, 11, 299764, 7497, 0.497
5, 5, 12, 596136, 11261, 0.502
5, 5, 13, 1128408, 16418, 0.521
5, 5, 14, 1948956, 25119, 0.530
5, 5, 15, 3231341, 38708, 0.550
5, 5, 16, 4769837, 56660, 0.594
5, 5, 17, 6789890, 85047, 0.640
5, 5, 18, 8396345, 113592, 0.709
5, 5, 19, 9955530, 155977, 0.823
5, 5, 20, 9812925, 175306, 0.914
5, 5, 21, 9020543, 198962, 0.974
5, 5, 22, 6632480, 180895, 0.978
5, 5, 23, 4345913, 162859, 0.938
5, 5, 24, 2011598, 104581, 0.830
5, 5, 25, 584249, 48497, 1.076
