width,height,ply,wincount,drawcount,lostcount,time
5, 5, 25, 0, 339437, 244812, 0.169
5, 5, 24, 333513, 897921, 780164, 0.734
5, 5, 23, 843204, 1447451, 2055258, 1.519
5, 5, 22, 2303386, 1692161, 2636933, 2.869
5, 5, 21, 2769392, 1959697, 4291454, 3.926
5, 5, 20, 4300149, 1785757, 3727019, 6.159
5, 5, 19, 3702331, 1712167, 4541032, 6.151
5, 5, 18, 4190967, 1322485, 2882893, 7.721
5, 5, 17, 2748641, 1118666, 2922583, 5.576
5, 5, 16, 2584341, 746420, 1439076, 5.234
5, 5, 15, 1342188, 572587, 1316566, 3.827
5, 5, 14, 1120140, 331971, 496845, 3.147
5, 5, 13, 459878, 235063, 433467, 1.557
5, 5, 12, 356731, 116426, 122979, 1.303
5, 5, 11, 114865, 76558, 108341, 0.487
5, 5, 10, 85493, 32021, 22118, 0.363
5, 5, 9, 20897, 19616, 20329, 0.153
5, 5, 8, 15432, 6863, 2765, 0.091
5, 5, 7, 2670, 4002, 2683, 0.029
5, 5, 6, 1985, 1146, 219, 0.015
5, 5, 5, 213, 625, 237, 0.004
5, 5, 4, 196, 139, 10, 0.002
5, 5, 3, 12, 73, 10, 0.000
5, 5, 2, 10, 15, 0, 0.000
5, 5, 1, 0, 5, 0, 0.000
5, 5, 0, 0, 1, 0, 0.000
