width,height,ply,wincount,drawcount,lostcount,time
7, 6, 42, 0, 713298878, 746034021, 483.511
7, 6, 41, 1033139763, 2496557393, 4282128782, 611.853
7, 6, 40, 4831822472, 5153271363, 12710802660, 803.052
7, 6, 39, 13697133737, 7792641079, 33666235957, 1115.493
7, 6, 38, 32161409500, 10220085105, 61622970744, 1428.803
7, 6, 37, 57747247782, 11509102126, 114359332473, 1970.205
7, 6, 36, 98839977654, 12431825174, 155042098394, 2478.306
7, 6, 35, 132714989361, 12225240861, 226007657501, 3599.135
7, 6, 34, 180530409295, 11668229290, 241273091751, 4251.372
7, 6, 33, 194705107378, 10381952902, 291549830422, 6371.308
7, 6, 32, 221858140210, 9048082187, 258000224786, 6926.136
7, 6, 31, 201906000786, 7481813611, 269818663336, 10240.899
7, 6, 30, 199698237436, 6071049190, 204609218821, 9904.303
7, 6, 29, 157638115456, 4687144532, 190301585678, 13186.284
7, 6, 28, 138476323812, 3567644646, 126013643486, 11235.649
7, 6, 27, 96436935052, 2578399088, 106274173915, 13057.583
7, 6, 26, 76568242258, 1846266966, 62314059815, 10121.331
7, 6, 25, 47632685500, 1256717558, 48376711901, 10075.225
7, 6, 24, 34623818387, 845872717, 25361122355, 6750.390
7, 6, 23, 19402748258, 543074854, 18317405077, 5840.646
7, 6, 22, 13031002559, 342506047, 8637315382, 3944.019
7, 6, 21, 6616029910, 208240707, 5849074428, 3009.872
7, 6, 20, 4132585341, 122495056, 2491075548, 1937.129
7, 6, 19, 1907752131, 70754712, 1589752959, 1357.959
7, 6, 18, 1112643249, 38582237, 612658408, 869.987
7, 6, 17, 467761723, 21226658, 369230362, 567.645
7, 6, 16, 255117922, 10681110, 128792359, 361.342
7, 6, 15, 97682013, 5596074, 73263172, 238.726
7, 6, 14, 49756539, 2583292, 23097764, 165.874
7, 6, 13, 17308630, 1286746, 12333735, 124.069
7, 6, 12, 8191645, 541825, 3502631, 102.531
7, 6, 11, 2578781, 255780, 1734122, 90.803
7, 6, 10, 1122696, 97532, 442395, 85.325
7, 6, 9, 317541, 42896, 197749, 9.175
7, 6, 8, 124624, 14676, 44975, 8.415
7, 6, 7, 31408, 5944, 17507, 7.938
7, 6, 6, 10889, 1943, 3590, 7.853
7, 6, 5, 2486, 697, 1080, 7.793
7, 6, 4, 690, 200, 230, 7.790
7, 6, 3, 145, 58, 35, 7.772
7, 6, 2, 27, 12, 10, 7.787
7, 6, 1, 4, 2, 1, 7.774
7, 6, 0, 1, 0, 0, 7.804
