width,height,ply,poscount,nodecount,time
5, 5, 0, 1, 53, 0.000
5, 5, 1, 5, 93, 0.113
5, 5, 2, 25, 182, 0.112
5, 5, 3, 95, 286, 0.113
5, 5, 4, 345, 517, 0.145
5, 5, 5, 1075, 839, 0.113
5, 5, 6, 3350, 1398, 0.113
5, 5, 7, 9355, 2206, 0.114
5, 5, 8, 25060, 3692, 0.115
5, 5, 9, 60842, 5515, 0.119
5, 5, 10, 139632, 7702, 1.454
5, 5, 11, 299764, 11496, 1.459
5, 5, 12, 596136, 16250, 1.456
5, 5, 13, 1128408, 25607, 1.509
5, 5, 14, 1948956, 36856, 1.533
5, 5, 15, 3231341, 60429, 1.574
5, 5, 16, 4769837, 85270, 1.783
5, 5, 17, 6789890, 133784, 2.055
5, 5, 18, 8396345, 176089, 1.996
5, 5, 19, 9955530, 248048, 2.196
5, 5, 20, 9812925, 278372, 2.340
5, 5, 21, 9020543, 324692, 2.559
5, 5, 22, 6632480, 296528, 2.467
5, 5, 23, 4345913, 271909, 2.455
5, 5, 24, 2011598, 176259, 2.242
5, 5, 25, 584249, 83618, 3.080
